Comic Title,Publication Year,Cover URL
Alligator Loki (2023) #1,2023,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/64ecad4f73f48.jpg
Immortal Thor (2023) #1,2023,http://i.annihil.us/u/prod/marvel/i/mg/2/10/64ecae233fbfb.jpg
Thor Annual (2023) #1,2023,http://i.annihil.us/u/prod/marvel/i/mg/1/20/6494a88620a97.jpg
Thor (2020) #35,2023,http://i.annihil.us/u/prod/marvel/i/mg/6/50/6494a8cb640b3.jpg
Thor (2020) #34,2023,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/646b6a2ec150d.jpg
Thor (2020) #33,2023,http://i.annihil.us/u/prod/marvel/i/mg/d/80/64511169c0694.jpg
Thor (2020) #32,2023,http://i.annihil.us/u/prod/marvel/i/mg/4/20/641e08897a77b.jpg
Thor (2020) #31,2023,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/63f4e9c2b5ef5.jpg
Thor (2020) #30,2023,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/63d28f706e246.jpg
Avengers (2018) #64,2023,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/63b4782b31250.jpg
Thor (2020) #29,2022,http://i.annihil.us/u/prod/marvel/i/mg/3/d0/63863ccc97045.jpg
Thor (2020) #28,2022,http://i.annihil.us/u/prod/marvel/i/mg/1/40/634f648596d42.jpg
Jane Foster & the Mighty Thor (2022) #5,2022,http://i.annihil.us/u/prod/marvel/i/mg/c/60/633cefc2f1e37.jpg
Thor (2020) #27,2022,http://i.annihil.us/u/prod/marvel/i/mg/6/00/631b3505baf49.jpg
Avengers Forever (2021) #8,2022,http://i.annihil.us/u/prod/marvel/i/mg/c/f0/630507910522f.jpg
"Avengers 1,000,000 BC (2022) #1",2022,http://i.annihil.us/u/prod/marvel/i/mg/9/70/62f3c6a4b53d9.jpg
Jane Foster & the Mighty Thor (2022) #3,2022,http://i.annihil.us/u/prod/marvel/i/mg/9/50/62ed839be131c.jpg
